"Subj"	"Order"	"GOOD"	"GC"	"GC1"	"GC2"	"BAD"	"BC"
205	5	"active"	"active"	"active"	"active"	"not respecting one’s self or other people"	"disrespect"
34	7	"skilled"	"adroit"	"adroit"	"adroit"	NA	NA
116	6	"adroit"	"adroit"	"adroit"	"adroit"	NA	NA
210	10	"art-skilled"	"adroit"	"adroit"	"adroit"	NA	NA
121	4	"adroit"	"adroit"	"adroit"	"adroit"	"back-biting"	"untrustworthy"
3	1	"turn from alcohol"	"alcohol"	"alcohol"	"alcohol"	"alchohol"	"alcohol"
123	1	"Doesn’t drink"	"alcohol"	"alcohol"	"alcohol"	"drinks"	"alcohol"
128	1	"Doesn’t drink"	"alcohol"	"alcohol"	"alcohol"	"drinks"	"alcohol"
126	1	"Doesn’t drink"	"alcohol"	"alcohol"	"alcohol"	"cruel"	"cruel"
2	10	"not drinking"	"alcohol"	"alcohol"	"alcohol"	"dull"	"dull"
229	4	"Doesn’t drink"	"alcohol"	"alcohol"	"alcohol"	"not responsible to family"	"disrespect"
125	3	"doesn’t drink a lot"	"alcohol"	"alcohol"	"alcohol"	"lazy"	"lazy"
39	10	"abstaining from alcohol"	"alcohol"	"alcohol"	"alcohol"	NA	NA
127	5	"doesn’t have bad ways (doesn’t drink, doesn’t smoke)"	"alcohol"	"alcohol"	"alcohol"	NA	NA
202	2	"Doesn’t drink"	"alcohol"	"alcohol"	"alcohol"	"not religious"	"not religious"
1	6	"not a drinker"	"alcohol"	"alcohol"	"alcohol"	"slander"	"untrustworthy"
33	5	"pure way, not drinking araga"	"alcohol"	"alcohol"	"alcohol"	"dishonest with family"	"untrustworthy"
227	1	"doesn't drink"	"alcohol"	"alcohol"	"alcohol"	"lying"	"untrustworthy"
28	7	"striving for good things"	"ambitious"	"ambitious"	"ambitious"	"captation"	"conceit"
34	6	"sights are high"	"ambitious"	"ambitious"	"ambitious"	NA	NA
26	1	"costant"	"balance"	"balance"	"balance"	"drinking alcohol"	"alcohol"
6	5	"constancy"	"balance"	"balance"	"balance"	"envy"	"envious"
121	1	"balanced"	"balance"	"balance"	"balance"	"liar"	"untrustworthy"
207	1	"beautiful "	"beautiful"	"beautiful"	"beautiful"	"drinks"	"alcohol"
208	2	"beautiful "	"beautiful"	"beautiful"	"beautiful"	"shy/cowardly"	"cowardice"
209	3	"beautiful "	"beautiful"	"beautiful"	"beautiful"	"cruel"	"cruel"
41	6	"beautiful "	"beautiful"	"beautiful"	"beautiful"	NA	NA
41	7	"handsome/well-proportioned"	"beautiful"	"beautiful"	"beautiful"	NA	NA
102	5	"brave "	"brave"	"brave"	"brave"	"drinks"	"alcohol"
210	4	"brave "	"brave"	"brave"	"brave"	"drunk"	"alcohol"
7	8	"courage"	"brave"	"brave"	"brave"	"irrascibility"	"angry"
219	2	"brave "	"brave"	"brave"	"brave"	"envious"	"envious"
121	2	"brave "	"brave"	"brave"	"brave"	"greedy"	"greedy"
226	2	"brave "	"brave"	"brave"	"brave"	"lazy"	"lazy"
33	11	"brave "	"brave"	"brave"	"brave"	NA	NA
209	7	"brave"	"brave"	"brave"	"brave"	NA	NA
225	5	"brave"	"brave"	"brave"	"brave"	NA	NA
103	2	"brave "	"brave"	"brave"	"brave"	"suck-up/ass-kiss"	"suck-up"
116	5	"brave "	"brave"	"brave"	"brave"	"suck-up/ass-kiss"	"suck-up"
12	2	"courage"	"brave"	"brave"	"brave"	"theft"	"steal"
20	4	"courage"	"brave"	"brave"	"brave"	"treachery"	"untrustworthy"
33	6	"tidy"	"clean"	"clean"	"clean"	"hot tempered angry, cruel"	"angry"
101	1	"compassionate"	"compassionate"	"compassionate"	"compassionate"	"envious"	"envious"
121	5	"proud"	"confident"	"confident"	"confident"	"greedy"	"greedy"
36	7	"definite/confident path"	"confident"	"confident"	"confident"	"not knowing families sacred rites"	"lacks knowledge"
6	7	"decisiveness"	"confident"	"confident"	"confident"	NA	NA
131	1	"Definite/confident"	"confident"	"confident"	"confident"	"liar"	"untrustworthy"
229	2	"cultivating"	"cultivating"	"cultivating"	"cultivating"	"passion for araga"	"alcohol"
217	4	"cultivating"	"cultivating"	"cultivating"	"cultivating"	"cruel"	"cruel"
18	3	"curiosity"	"curious"	"curious"	"curious"	"greediness"	"greedy"
205	4	"interested"	"curious"	"curious"	"curious"	"not attentive"	"careless"
206	1	"following customs"	"customs"	"traditions"	"traditions/family"	"thoughtless"	"apathetic"
119	1	"knows customs"	"customs"	"traditions"	"traditions/family"	"not knowing homeland's history"	"lacks knowledge"
127	4	"observes customs"	"customs"	"traditions"	"traditions/family"	NA	NA
116	1	"deserving"	"deserving"	"deserving"	"deserving"	"drunk"	"alcohol"
118	1	"disciplined"	"diciplined"	"diciplined"	"diciplined"	"drinks"	"alcohol"
116	3	"disciplined"	"diciplined"	"diciplined"	"diciplined"	"envious"	"envious"
36	13	"disciplined"	"diciplined"	"diciplined"	"diciplined"	"not knowing history"	"lacks knowledge"
34	5	"disciplined"	"diciplined"	"diciplined"	"diciplined"	NA	NA
208	5	"disciplined"	"diciplined"	"diciplined"	"diciplined"	NA	NA
204	3	"disciplined"	"diciplined"	"diciplined"	"diciplined"	"imitation/falsity"	"untrustworthy"
210	2	"disciplined"	"diciplined"	"diciplined"	"diciplined"	"liar"	"untrustworthy"
219	4	"faithfulness"	"faithful"	"faithful"	"faithful"	"cruel"	"cruel"
17	5	"love for native people and strong relationships with relatives"	"family"	"traditions"	"traditions/family"	"drinking alcohol"	"alcohol"
20	1	"love for mother, idolizing mother"	"family"	"family"	"traditions/family"	"inclination to alcohol"	"alcohol"
23	2	"love for tuvan people"	"nation"	"traditions"	"traditions/family"	"alcohol--they devote themselves to it"	"alcohol"
36	1	"love for homeland"	"nation"	"traditions"	"traditions/family"	"drunk path"	"alcohol"
132	4	"repay the debt to ancestors"	"family"	"traditions"	"traditions/family"	"drunk"	"alcohol"
135	1	"love for homeland"	"nation"	"traditions"	"traditions/family"	"drinks"	"alcohol"
9	6	"having a strong relationship with family"	"family"	"family"	"traditions/family"	"unpunctuality"	"late"
6	4	"having a strong relationship with family"	"family"	"family"	"traditions/family"	"hard-heartedness"	"cold"
